store_id,party,source_store_id,source_identifier,store_name,operator_id,street_address,town,county,postcode,latitude,longitude,source,location_type,public,street_address2,street_address3,temporarily_closed,permanently_closed
CG-103617-0000,Co-operative Group,103617-0000,3617.0,Harlow - Newhall Neighbourhood,The Co-operative Group,North Square,Harlow,Essex,CM17 9TW,51.775312,0.134071,Co-op location-services API,Food,True,,,False,False
CG-105686-0000,Co-operative Group,105686-0000,5686.0,Penyffordd - Hawarden Road,The Co-operative Group,Hawarden Road,Penyffordd,Flintshire,CH4 0JE,53.147767,-3.044403,Co-op location-services API,Food,True,,,False,False
CG-104719-0000,Co-operative Group,104719-0000,4719.0,Buntingford - Station Road,The Co-operative Group,Station Road,Buntingford,Hertfordshire,SG9 9HT,51.9452076,-0.0169029,Co-op location-services API,Food,True,,,False,False
CG-106790-0000,Co-operative Group,106790-0000,6790.0,Socketts Heath - Lodge Lane,The Co-operative Group,65-67 Lodge Lane,Grays,Thurrock,RM17 5RZ,51.4889616,0.3385171,Co-op location-services API,Food,True,Socketts Heath,,False,False
CG-108097-0000,Co-operative Group,108097-0000,8097.0,Bentilee - Ubberley Road,The Co-operative Group,25 Devonshire Square,Stoke-On-Trent,Stoke-On-Trent,ST2 0ES,53.013632,-2.128408,Co-op location-services API,Food,True,Bentilee,,False,False
CG-109788-0000,Co-operative Group,109788-0000,9788.0,Harlow - High Street,The Co-operative Group,21 High Street,Old Harlow,Essex,CM17 0DN,51.7835092,0.1336236,Co-op location-services API,Food,True,,,False,False
CG-103700-0000,Co-operative Group,103700-0000,3700.0,Hastings - Parkstone Road,The Co-operative Group,1 - 5 Parkstone Parade,Hastings,East Sussex,TN34 2PS,50.878746,0.569877,Co-op location-services API,Lunar,True,,,False,False
CG-108009-0000,Co-operative Group,108009-0000,8009.0,Chesterton - London Road,The Co-operative Group,London Road,Newcastle-Under-Lyme,Staffordshire,ST5 7DY,53.0426211,-2.2513957,Co-op location-services API,Food,True,Chesterton,,False,False
CG-105199-0000,Co-operative Group,105199-0000,5199.0,Llanrug - Station Road,The Co-operative Group,Station Road,Caernarfon,Gwynedd,LL55 4AG,53.1484848,-4.190729699999999,Co-op location-services API,Food,True,Llanrug,,False,False
CG-108012-0000,Co-operative Group,108012-0000,8012.0,Bradwell - Hanbridge Avenue,The Co-operative Group,125 Hanbridge Avenue,Newcastle-Under-Lyme,Staffordshire,ST5 8HX,53.04105149999999,-2.2340243,Co-op location-services API,Food,True,Bradwell,,False,False
CG-108332-0000,Co-operative Group,108332-0000,8332.0,Bunbury - Bunbury Lane,The Co-operative Group,Bunbury Lane,Tarporley,Cheshire East,CW6 9QS,53.1155939,-2.6514028,Co-op location-services API,Food,True,Bunbury,,False,False
CG-108293-0000,Co-operative Group,108293-0000,8293.0,Northwood - Keelings Road,The Co-operative Group,Keelings Road,Stoke-On-Trent,Stoke-On-Trent,ST1 6PA,53.030253,-2.164476,Co-op location-services API,Food,True,Northwood,,False,False
CG-108107-0000,Co-operative Group,108107-0000,8107.0,Crewe - Readesdale Avenue,The Co-operative Group,Readesdale Avenue,Crewe,Cheshire East,CW2 8QP,53.089223,-2.464939,Co-op location-services API,Food,True,,,False,False
CG-107763-0000,Co-operative Group,107763-0000,7763.0,Waterhayes - Barbridge Road,The Co-operative Group,"Unit 1-3, Barbridge Road",Newcastle-Under-Lyme,Staffordshire,ST5 7SB,53.0509869,-2.2567184,Co-op location-services API,Food,True,Waterhayes Village  Chesterton,,False,False
CG-104826-0000,Co-operative Group,104826-0000,4826.0,Cranbrook - High Street,The Co-operative Group,High Street,Cranbrook,Kent,TN17 3DQ,51.0949439,0.532167,Co-op location-services API,Food,True,,,False,False
CG-103624-0000,Co-operative Group,103624-0000,3624.0,Gravesend - East Milton Road,The Co-operative Group,1-2 East Milton Road,Gravesend,Kent,DA12 2JL,51.438988,0.386094,Co-op location-services API,Lunar,True,,,False,False
CG-104355-0000,Co-operative Group,104355-0000,4355.0,Snodland - Holborough Road,The Co-operative Group,1 Holborough Road,Snodland,Kent,ME6 5DQ,51.33021,0.442489722222,Co-op location-services API,Food,True,,,False,False
CG-104864-0000,Co-operative Group,104864-0000,4864.0,Denbigh - High Street,The Co-operative Group,26 High Street,Denbigh,Denbighshire,LL16 3RY,53.183378,-3.419189,Co-op location-services API,Food,True,,,False,False
CG-108271-0000,Co-operative Group,108271-0000,8271.0,Werrington - Washerwall Lane,The Co-operative Group,49 Washerwall Lane,Stoke-On-Trent,Staffordshire,ST9 0JU,53.02383409999999,-2.095872,Co-op location-services API,Food,True,Werrington,,False,False
CG-108691-0000,Co-operative Group,108691-0000,8691.0,Woolstanwood - West Street,The Co-operative Group,645 West Street,Crewe,Cheshire East,CW2 8SL,53.099711,-2.4776433,Co-op location-services API,Food,True,,,False,False
CG-104185-0000,Co-operative Group,104185-0000,4185.0,Broughton - Main Road,The Co-operative Group,Main Road,Chester,Flintshire,CH4 0NR,53.1641867,-2.9956021,Co-op location-services API,Lunar,True,Broughton,,False,False
CG-107200-0000,Co-operative Group,107200-0000,7200.0,Abbey Hulton - Abbots Road,The Co-operative Group,53-55 Abbots Road,Stoke-On-Trent,Stoke-On-Trent,ST2 8DU,53.0374709,-2.1393909,Co-op location-services API,Food,True,Abbey Hulton,,False,False
CG-108281-0000,Co-operative Group,108281-0000,8281.0,Crewe - Beswick Drive,The Co-operative Group,"Unit 1, The Gateway",Crewe,Cheshire East,CW1 5NP,53.0932603,-2.4149858,Co-op location-services API,Lunar,True,Beswick Drive,,False,False
CG-106012-0000,Co-operative Group,106012-0000,6012.0,Wouldham - Village Road,The Co-operative Group,Tolhurst Close,Rochester,Kent,ME1 3AP,51.3419876049183,0.457458683401793,Co-op location-services API,Food,True,Wouldham,,False,False
CG-107593-0000,Co-operative Group,107593-0000,7593.0,Ore - Fairlight Road,The Co-operative Group,4-6 Fairlight Road,Hastings,East Sussex,TN35 5EA,50.87225830000001,0.6089882000000001,Co-op location-services API,Food,True,Ore,,False,False
CG-104964-0000,Co-operative Group,104964-0000,4964.0,Gamlingay - Church Street,The Co-operative Group,Church Street,Sandy,Cambridgeshire,SG19 3JH,52.1553421,-0.1911645,Co-op location-services API,Food,True,Gamlingay,,False,False
CG-107615-0000,Co-operative Group,107615-0000,7615.0,Pilgrims Hatch - Harewood Road,The Co-operative Group,Harewood Road,Brentwood,Essex,CM15 9PD,51.635478,0.2910436,Co-op location-services API,Food,True,Pilgrims Hatch,,False,False
CG-156303-0000,Co-operative Group,156303-0000,6303.0,Purple Onion,The Co-operative Group,Elvyn Way,Loughborough,Leicestershire,LE11 3TH,52.76604037603407,-1.2341284991690578,Co-op location-services API,University,True,,,False,False
CG-104850-0000,Co-operative Group,104850-0000,4850.0,Cuxton - Bush Road,The Co-operative Group,93 Bush Road,Rochester,Medway,ME2 1EY,51.3741886,0.4525379,Co-op location-services API,Food,True,Cuxton,,False,False
CG-108094-0000,Co-operative Group,108094-0000,8094.0,Milton - Millrise Road,The Co-operative Group,20 Millrise Road,Stoke-On-Trent,Stoke-On-Trent,ST2 7BW,53.04976139999999,-2.1411126,Co-op location-services API,Food,True,Milton,,False,False
CG-156302-0000,Co-operative Group,156302-0000,6302.0,Loughborough University,The Co-operative Group,Ashby Rd,Loughborough,Leicestershire,LE11 3TT,52.76933,-1.22814,Co-op location-services API,University,True,,,False,False
CG-108039-0000,Co-operative Group,108039-0000,8039.0,Haslington - Crewe Road,The Co-operative Group,129 Crewe Road,Crewe,Cheshire East,CW1 5RG,53.10198090000001,-2.3935953,Co-op location-services API,Lunar,True,Haslington,,False,False
