centroid_store_id,centroid_party,other_party_stores_within_5min
SC-4705320,Southern Co-op,1
SC-4705321,Southern Co-op,1
SC-4705325,Southern Co-op,1
SC-4705327,Southern Co-op,3
SC-4705330,Southern Co-op,3
SC-4705332,Southern Co-op,2
SC-4705336,Southern Co-op,1
SC-4705338,Southern Co-op,1
SC-4705341,Southern Co-op,1
SC-4705342,Southern Co-op,2
SC-4705344,Southern Co-op,3
SC-4705345,Southern Co-op,1
SC-4705347,Southern Co-op,1
SC-4705348,Southern Co-op,1
SC-4705351,Southern Co-op,1
SC-4705357,Southern Co-op,4
SC-4705359,Southern Co-op,2
SC-4705361,Southern Co-op,2
SC-4705362,Southern Co-op,2
SC-4705367,Southern Co-op,1
SC-4705370,Southern Co-op,1
SC-4819776,Southern Co-op,1
SC-4969604,Southern Co-op,4
SC-5029687,Southern Co-op,2
SC-5199578,Southern Co-op,2
SC-5199855,Southern Co-op,1
SC-5792588,Southern Co-op,1
SC-5891476,Southern Co-op,3
SC-5895829,Southern Co-op,1
SC-5896716,Southern Co-op,2
SC-5902041,Southern Co-op,2
SC-5932864,Southern Co-op,3
SC-5936135,Southern Co-op,1
SC-6149043,Southern Co-op,2
SC-6409828,Southern Co-op,1
