store_id,party,longitude,latitude
SC-4705371,Southern Co-op,-1.44284708,51.20532536
SC-4705372,Southern Co-op,-1.46647738,51.22802632
SC-4700814,Southern Co-op,-1.5175368,50.8947314
SC-4700822,Southern Co-op,-1.4509552,50.8908124
SC-4700836,Southern Co-op,-1.5775637,50.81923796
SC-4705180,Southern Co-op,-1.7971482,50.7216571
SC-4705188,Southern Co-op,-1.9303024,50.7676314
SC-4705190,Southern Co-op,-2.0033894,50.7415267
SC-4705191,Southern Co-op,-1.96295226,50.72956788
SC-4705195,Southern Co-op,-1.857598,50.7547849
SC-4705211,Southern Co-op,-1.8371465,50.9114768
SC-4705251,Southern Co-op,-1.5884987,50.7255269
SC-4705271,Southern Co-op,-1.3804619,50.8316592
SC-4705327,Southern Co-op,-1.8674666,50.7237796
SC-4705330,Southern Co-op,-1.97774415,50.72497758
SC-4705332,Southern Co-op,-1.9877136,50.804969
SC-4705334,Southern Co-op,-1.86530762,50.87868217
SC-4700827,Southern Co-op,-0.9625238,50.8611556
SC-4705207,Southern Co-op,-0.9999185,50.8651127
SC-4705222,Southern Co-op,-1.0179336,50.8952652
SC-4705224,Southern Co-op,-0.9384996,51.2544488
SC-4705228,Southern Co-op,-1.0655378,50.9040804
SC-4705232,Southern Co-op,-0.9742487,50.8626709
SC-4705237,Southern Co-op,-1.1875641,50.8992671
SC-4705242,Southern Co-op,-0.8045245,51.0803679
SC-4705257,Southern Co-op,-0.81692884,51.20172153
SC-4705277,Southern Co-op,-1.044454,50.86860056
SC-4705286,Southern Co-op,-1.2669568,50.8812175
SC-4705247,Southern Co-op,-0.6861345,50.7897665
SC-4705256,Southern Co-op,-0.7876146,50.8241984
SC-4705260,Southern Co-op,-0.61021009,50.81939742
SC-4705263,Southern Co-op,-0.76149499,50.83370721
SC-4705270,Southern Co-op,-0.7739646,50.8410355
SC-4705275,Southern Co-op,-0.4901444,50.8158722
SC-4705299,Southern Co-op,-0.719355,50.7865857
SC-4705304,Southern Co-op,-0.79061128,50.84206565
SC-4705305,Southern Co-op,-0.7916333,50.7319104
SC-4705309,Southern Co-op,-0.48397341,50.82881314
SC-4705311,Southern Co-op,-0.4468565,50.8153477
SC-4705319,Southern Co-op,-0.8730081,50.7693622
SC-4705369,Southern Co-op,-0.784188,50.8593048
SC-5199578,Southern Co-op,-0.651805572,50.85379415
SC-4705212,Southern Co-op,-1.02948512,50.8603469
SC-4705213,Southern Co-op,-1.0654452,50.8219844
SC-4705215,Southern Co-op,-1.06084649,50.80860689
SC-4705217,Southern Co-op,-1.0742044,50.830425
SC-4705230,Southern Co-op,-1.06197197,50.78662551
SC-4705236,Southern Co-op,-0.9263629,50.8617824
SC-4705245,Southern Co-op,-0.9368563,50.8472848
SC-4705246,Southern Co-op,-1.05025896,50.84632745
SC-4705253,Southern Co-op,-1.0843145,50.8193647
SC-4705262,Southern Co-op,-1.05404986,50.84282147
SC-4705265,Southern Co-op,-1.0822069,50.841127
SC-4705268,Southern Co-op,-1.0552408,50.7907128
SC-4705292,Southern Co-op,-1.0712582,50.8090679
SC-4705297,Southern Co-op,-0.8478006,50.8418138
SC-4705303,Southern Co-op,-0.8511128,50.83962112
SC-4705313,Southern Co-op,-0.9102776,50.8454396
SC-4705345,Southern Co-op,-0.976353,50.7936799
SC-4700832,Southern Co-op,-1.22052967,50.828489
SC-4705204,Southern Co-op,-1.16998596,50.82851782
SC-4705205,Southern Co-op,-1.1486366,50.803536
SC-4705206,Southern Co-op,-1.1367712,50.8434323
SC-4705219,Southern Co-op,-1.1451836,50.8086476
SC-4705239,Southern Co-op,-1.2020477,50.8014194
SC-4705243,Southern Co-op,-1.2341422,50.8492084
SC-4705248,Southern Co-op,-1.31248764,50.69165471
SC-4705252,Southern Co-op,-1.1923124,50.8050516
SC-4705273,Southern Co-op,-1.1784192,50.6307882
SC-4705280,Southern Co-op,-1.3021947,50.7543925
SC-4705285,Southern Co-op,-1.0886952,50.6911268
SC-4705306,Southern Co-op,-1.1328559,50.8089203
SC-4705308,Southern Co-op,-1.1519946,50.6621003
SC-4705347,Southern Co-op,-1.1670177,50.7241846
SC-4705349,Southern Co-op,-1.2792072,50.652906
SC-4705193,Southern Co-op,-0.08801159,50.86772992
SC-4705194,Southern Co-op,0.2661659,50.7997372
SC-4705196,Southern Co-op,-0.19172571,50.833956
SC-4705197,Southern Co-op,-0.1875864,50.8389366
SC-4705208,Southern Co-op,0.5479516,50.8811339
SC-4705244,Southern Co-op,-0.1559683,50.82545215
SC-4705250,Southern Co-op,-0.13811699,50.95621899
SC-4705282,Southern Co-op,0.7188329,51.2378162
SC-4705294,Southern Co-op,-0.0958572,50.9933478
SC-4705298,Southern Co-op,1.0007737,51.3440445
SC-4705302,Southern Co-op,-0.12313005,50.95851956
SC-4705333,Southern Co-op,0.31840659,50.78545514
SC-4705340,Southern Co-op,1.3128744,51.3348394
SC-4705344,Southern Co-op,-0.2178892,50.8357474
SC-4705361,Southern Co-op,0.84639597,51.15401528
SC-4705362,Southern Co-op,1.0307289,51.3588394
CG-106874-0000,Co-operative Group,-3.4669493,50.581211
CG-109634-0000,Co-operative Group,-3.412466599999999,50.6194898
CG-105811-0000,Co-operative Group,-3.388612599999999,50.6243942
CG-107656-0000,Co-operative Group,-3.4655307,50.68367800000001
CG-105974-0000,Co-operative Group,-3.3265389,50.6293623
CG-109626-0000,Co-operative Group,-3.5409588,50.7172649
CG-105835-0000,Co-operative Group,-3.5354058,50.7170256
CG-109629-0000,Co-operative Group,-3.5047542,50.7214744
CG-107831-0000,Co-operative Group,-3.5349554,50.7267032
CG-103662-0000,Co-operative Group,-3.522885555556,50.726226944444
CG-104962-0000,Co-operative Group,-3.5257182,50.73089039999999
CG-105619-0000,Co-operative Group,-3.518674,50.73154
CG-105622-0000,Co-operative Group,-3.462093,50.746011
CG-109653-0000,Co-operative Group,-3.2276187,50.9781595
CG-106698-0000,Co-operative Group,-3.1013041,51.0297315
CG-104652-0000,Co-operative Group,-3.188385,51.0604586
CG-106680-0000,Co-operative Group,-3.0945342,51.0326977
CG-105121-0000,Co-operative Group,-3.062231,51.0361217
CG-105434-0000,Co-operative Group,-2.4914059,50.6122756
CG-103661-0000,Co-operative Group,-2.459532385941452,50.60040016238284
CG-109651-0000,Co-operative Group,-2.9866709,51.126025
CG-104955-0000,Co-operative Group,-2.4433559,50.5599342
CG-106896-0000,Co-operative Group,-2.982837,51.1311099
CG-104900-0000,Co-operative Group,-2.4359086,50.5456235
CG-105221-0000,Co-operative Group,-2.937176,51.162787
CG-106752-0000,Co-operative Group,-2.9764536,51.3385198
CG-106564-0000,Co-operative Group,-2.8174648,51.2870757
CG-105231-0000,Co-operative Group,-2.25353,50.90526
CG-104720-0000,Co-operative Group,-2.832912,51.314513
CG-109479-0000,Co-operative Group,-2.9281071,51.35981579999999
CG-107429-0000,Co-operative Group,-2.2761587,51.0424492
CG-109480-0000,Co-operative Group,-2.8192113,51.3868584
CG-105228-0000,Co-operative Group,-2.0273122,50.7378862
CG-108953-0000,Co-operative Group,-2.0071436,50.7165687
CG-107334-0000,Co-operative Group,-2.0212588,50.7653632
CG-104817-0000,Co-operative Group,-2.016853499999999,50.7744595
CG-107820-0000,Co-operative Group,-1.9989899,50.7428594
CG-107590-0000,Co-operative Group,-1.9701029,50.73781229999999
CG-109674-0000,Co-operative Group,-1.9857493,50.7995259
CG-106003-0000,Co-operative Group,-1.95200746150542,50.72359929477605
CG-105048-0000,Co-operative Group,-1.952867,50.731172
CG-105992-0000,Co-operative Group,-2.3214662,51.221448
CG-107432-0000,Co-operative Group,-1.9378575,50.740498
CG-107327-0000,Co-operative Group,-1.9630776,50.80987880000001
CG-106667-0000,Co-operative Group,-2.6661954,51.4288684
CG-105387-0000,Co-operative Group,-2.781346,51.481566
CG-104129-0000,Co-operative Group,-1.8933389,50.7219101
CG-105775-0000,Co-operative Group,-2.5771096,51.40724059999999
CG-104625-0000,Co-operative Group,-2.6140485,51.4253636
CG-104345-0000,Co-operative Group,-1.8865766,50.75150230000001
CG-109713-0000,Co-operative Group,-1.8741286,50.7552113
CG-106833-0000,Co-operative Group,-2.5462773,51.41197739999999
CG-105356-0000,Co-operative Group,-1.859239,50.722681
CG-107312-0000,Co-operative Group,-1.8637009,50.7401588
CG-105283-0000,Co-operative Group,-2.61129,51.445781
CG-105322-0000,Co-operative Group,-2.3235131,51.2999495
CG-109477-0000,Co-operative Group,-2.6202093,51.4544825
CG-106768-0000,Co-operative Group,-2.6771806,51.48945639999999
CG-109475-0000,Co-operative Group,-2.602103,51.461366
CG-106550-0000,Co-operative Group,-2.6952576,51.4991508
CG-106600-0000,Co-operative Group,-2.3802777,51.3583916
CG-104704-0000,Co-operative Group,-2.5379467,51.44061579999999
CG-107519-0000,Co-operative Group,-2.3963017,51.372016
CG-106668-0000,Co-operative Group,-2.6414369,51.486009
CG-109707-0000,Co-operative Group,-1.8185269,50.7270952
CG-156316-0000,Co-operative Group,-1.822240229279832,50.74811954296439
CG-109485-0000,Co-operative Group,-2.5907071,51.4732298
CG-109490-0000,Co-operative Group,-2.5453193,51.4547641
CG-106834-0000,Co-operative Group,-2.6249291,51.4881087
CG-105885-0000,Co-operative Group,-2.6576125,51.5023442
CG-109478-0000,Co-operative Group,-2.6119836,51.4853295
CG-106055-0000,Co-operative Group,-2.3774443637428693,51.37681519166004
CG-105722-0000,Co-operative Group,-2.5181564,51.4498638
CG-109476-0000,Co-operative Group,-2.619745,51.4931297
CG-107965-0000,Co-operative Group,-2.3663019,51.374036
CG-106263-0000,Co-operative Group,-2.5874009,51.481704857365024
CG-104111-0000,Co-operative Group,-1.793014299999999,50.7479932
CG-105813-0000,Co-operative Group,-2.36499,51.3879537
CG-105702-0000,Co-operative Group,-2.6296071,51.51135619999999
CG-104840-0000,Co-operative Group,-2.6214183,51.50920989999999
CG-105396-0000,Co-operative Group,-2.51455,51.46672
CG-104716-0000,Co-operative Group,-2.5808228,51.49666
CG-106841-0000,Co-operative Group,-2.5254077,51.48210230000001
CG-109685-0000,Co-operative Group,-2.3448671,51.3975691
CG-105306-0000,Co-operative Group,-2.250427,51.347149
CG-109487-0000,Co-operative Group,-2.5046082,51.4883426
CG-106891-0000,Co-operative Group,-1.7360636,50.7812383
CG-104950-0000,Co-operative Group,-1.7915413,50.9269554
CG-106628-0000,Co-operative Group,-2.5085109,51.52258759999999
CG-108870-0000,Co-operative Group,-1.8630167,51.0808261
CG-156460-0000,Co-operative Group,-2.480177380306525,51.532943762329374
CG-105577-0000,Co-operative Group,-1.6715681653770769,50.73932322016709
CG-107926-0000,Co-operative Group,-1.8211174,51.0747925
CG-107364-0000,Co-operative Group,-2.1249748,51.3765823
CG-107303-0000,Co-operative Group,-1.7975842,51.083592
CG-109689-0000,Co-operative Group,-2.1867497,51.4321862
CG-105111-0000,Co-operative Group,-1.6080544283104454,50.7844520208586
CG-104199-0000,Co-operative Group,-2.1427313,51.4561068
CG-108868-0000,Co-operative Group,-1.7636436,51.1641815
CG-105239-0000,Co-operative Group,-1.7655029,51.1680355
CG-105989-0000,Co-operative Group,-1.7654895,51.1680422
CG-104703-0000,Co-operative Group,-2.1182147,51.4708586
CG-107737-0000,Co-operative Group,-1.5004901,50.9268681
CG-107663-0000,Co-operative Group,-1.4861093,50.9154788
CG-107588-0000,Co-operative Group,-1.4629965,50.94496299999999
CG-108810-0000,Co-operative Group,-1.4231275,50.9145368
CG-105770-0000,Co-operative Group,-1.3838084,50.83404849999999
CG-106587-0000,Co-operative Group,-1.4378556,50.9779456
CG-105590-0000,Co-operative Group,-1.39286,50.89591
CG-107904-0000,Co-operative Group,-1.377884,50.897865
CG-106869-0000,Co-operative Group,-1.3774302,50.90049090000001
CG-104145-0000,Co-operative Group,-1.3690061,50.8926313
CG-104112-0000,Co-operative Group,-1.3876579,50.9442243
CG-107939-0000,Co-operative Group,-1.3582876,50.8864001
CG-107567-0000,Co-operative Group,-1.3518458,50.873411
CG-105415-0000,Co-operative Group,-1.36218,50.90443
CG-107688-0000,Co-operative Group,-1.3555668,50.9014463
CG-107951-0000,Co-operative Group,-1.3518081,50.8944273
CG-107849-0000,Co-operative Group,-1.3292311,50.86226029999999
CG-109722-0000,Co-operative Group,-1.288204,50.758018
CG-109733-0000,Co-operative Group,-1.3745748,50.9878619
CG-105716-0000,Co-operative Group,-1.3150845,50.8588821
CG-108814-0000,Co-operative Group,-1.3340501,50.9082505
CG-107760-0000,Co-operative Group,-1.2993918,50.8534985
CG-105533-0000,Co-operative Group,-1.49617,51.20321
CG-109726-0000,Co-operative Group,-1.3025488,50.91351299999999
CG-107601-0000,Co-operative Group,-1.2681477,50.8718716
CG-105953-0000,Co-operative Group,-1.4599851,51.2100462
CG-109721-0000,Co-operative Group,-1.2056185,50.59492590000001
CG-107272-0000,Co-operative Group,-1.2706566,50.91448279999999
CG-109718-0000,Co-operative Group,-1.1802805,50.6318165
CG-104171-0000,Co-operative Group,-1.2132526,50.8253049
CG-109734-0000,Co-operative Group,-1.2096638,50.8594925
CG-107398-0000,Co-operative Group,-1.1958376,50.84392219999999
CG-109719-0000,Co-operative Group,-1.1528436,50.6549046
CG-109725-0000,Co-operative Group,-1.1619514,50.7287809
CG-156184-0000,Co-operative Group,-1.18807153,50.83447328340672
CG-107627-0000,Co-operative Group,-1.1593007,50.79385809999999
CG-107210-0000,Co-operative Group,-1.6189095,51.47973289999999
CG-109696-0000,Co-operative Group,-1.3393499,51.2298766
CG-105106-0000,Co-operative Group,-1.10344,50.7998848
CG-107209-0000,Co-operative Group,-1.0794992,50.7871003
CG-105291-0000,Co-operative Group,-1.0764277,50.7794401
CG-109738-0000,Co-operative Group,-1.0710354,50.7865469
CG-106091-0000,Co-operative Group,-1.34072,51.382513
CG-106074-0000,Co-operative Group,-1.004928313990208,50.85575341319392
CG-108946-0000,Co-operative Group,-0.9751605000000004,50.7872253
CG-105476-0000,Co-operative Group,-1.1777733591963542,51.24959386158718
CG-105107-0000,Co-operative Group,-0.9367952,50.8611947
CG-107558-0000,Co-operative Group,-1.2577033,51.4025652
CG-107729-0000,Co-operative Group,-1.2482441,51.3973656
CG-107728-0000,Co-operative Group,-1.2470486,51.4085287
CG-106088-0000,Co-operative Group,-1.276910970426567,51.45298723608133
CG-106121-0000,Co-operative Group,-0.8572083834449957,50.76514339216609
CG-105655-0000,Co-operative Group,-1.1406714113755565,51.348314725079554
CG-105116-0000,Co-operative Group,-1.0430834,51.2657848
CG-105133-0000,Co-operative Group,-0.7920198,50.7343665
CG-106036-0000,Co-operative Group,-0.774551,50.836004
CG-104135-0000,Co-operative Group,-0.738107,50.7702278
CG-107264-0000,Co-operative Group,-0.7165372000000001,50.7849587
CG-108928-0000,Co-operative Group,-0.7169682,50.8514191
CG-106076-0000,Co-operative Group,-0.67666,50.792463
CG-106111-0000,Co-operative Group,-0.669752777778,50.831503055556
CG-106109-0000,Co-operative Group,-0.8494262784360405,51.25330682812216
CG-104996-0000,Co-operative Group,-0.751176,51.1108761
CG-107240-0000,Co-operative Group,-0.6409128000000001,50.8317405
CG-108826-0000,Co-operative Group,-0.8352124,51.2836721
CG-104194-0000,Co-operative Group,-0.7426081999999999,51.2511844
CG-107340-0000,Co-operative Group,-0.7760514,51.31140629999999
CG-108889-0000,Co-operative Group,-0.7485474999999999,51.2764641
CG-104587-0000,Co-operative Group,-0.7242569999999999,51.2461715
CG-107224-0000,Co-operative Group,-0.5522903,50.85291249999999
CG-105193-0000,Co-operative Group,-0.719856,51.25751810000001
CG-104929-0000,Co-operative Group,-0.7396208999999998,51.2888831
CG-109808-0000,Co-operative Group,-0.7931721,51.3684744
CG-107597-0000,Co-operative Group,-0.7796812999999999,51.35275110000001
CG-106056-0000,Co-operative Group,-0.7553019580905748,51.327118727369545
CG-156324-0000,Co-operative Group,-0.7421,51.32005
CG-105369-0000,Co-operative Group,-0.78279,51.40484
CG-107851-0000,Co-operative Group,-0.7658203,51.3928796
CG-107810-0000,Co-operative Group,-0.7263098000000001,51.3479186
CG-107827-0000,Co-operative Group,-0.7558568,51.4045567
CG-104930-0000,Co-operative Group,-0.6043019999999999,51.1956296
CG-109809-0000,Co-operative Group,-0.6920558,51.3612513
CG-105194-0000,Co-operative Group,-0.6647375999999999,51.3507192
CG-105707-0000,Co-operative Group,-0.5975667,51.2503211
CG-107848-0000,Co-operative Group,-0.5865398,51.2378435
CG-156304-0000,Co-operative Group,-0.5877605637456955,51.242743139741
CG-105944-0000,Co-operative Group,-0.5872265,51.2493446
CG-104939-0000,Co-operative Group,-0.4111641,50.8192852
CG-107538-0000,Co-operative Group,-0.4112089,50.83546949999999
CG-105859-0000,Co-operative Group,-0.6169141000000001,51.3180584
CG-103698-0000,Co-operative Group,-0.566526944444,51.237830555556
CG-104987-0000,Co-operative Group,-0.402062,50.81337240000001
CG-156465-SPET,Co-operative Group,-0.4622295526584224,51.022826007178445
CG-106879-0000,Co-operative Group,-0.6075744,51.3161649
CG-107689-0000,Co-operative Group,-0.3922138,50.8191763
CG-107784-0000,Co-operative Group,-0.5951445,51.3123468
CG-105054-0000,Co-operative Group,-0.3878964999999999,50.8184395
CG-107953-0000,Co-operative Group,-0.3788951,50.809978
CG-104329-0000,Co-operative Group,-0.5749637000000001,51.3091395
CG-109837-0000,Co-operative Group,-0.3749346000000001,50.82900850000001
CG-105227-0000,Co-operative Group,-0.5606096938659668,51.29950267521045
CG-108951-0000,Co-operative Group,-0.5746536,51.3238035
CG-107648-0000,Co-operative Group,-0.4492761,51.0900808
CG-107445-0000,Co-operative Group,-0.3514706,50.8155684
CG-107687-0000,Co-operative Group,-0.3413636,50.8313357
CG-109830-0000,Co-operative Group,-0.321952,50.8297864
CG-107363-0000,Co-operative Group,-0.6348087000000001,51.4788897
CG-109818-0000,Co-operative Group,-0.3296654000000001,50.8885501
CG-106687-0000,Co-operative Group,-0.5114456,51.32673759999999
CG-105310-0000,Co-operative Group,-0.4940017,51.299583
CG-156475-0000,Co-operative Group,-0.57237084,51.42788486039628
CG-105988-0000,Co-operative Group,-0.351707,51.0247644
CG-106604-0000,Co-operative Group,-0.5857587,51.4625883
CG-106568-0000,Co-operative Group,-0.5035205,51.3488568
CG-104083-0000,Co-operative Group,-0.6309359,51.5320129
CG-106772-0000,Co-operative Group,-0.275595,50.83194609999999
CG-109819-0000,Co-operative Group,-0.2714851,50.8336655
CG-106039-0000,Co-operative Group,-0.555989,51.456302
CG-105307-0000,Co-operative Group,-0.4730803,51.3377993
CG-107581-0000,Co-operative Group,-0.329054,51.0754794
CG-107679-0000,Co-operative Group,-0.250117,50.8411962
CG-103715-0000,Co-operative Group,-0.5086860553527395,51.43518578370941
CG-106802-0000,Co-operative Group,-0.2358509,50.8345594
CG-107669-0000,Co-operative Group,-0.5546774,51.5019985
CG-107641-0000,Co-operative Group,-0.3024726999999999,51.0734444
CG-104105-0000,Co-operative Group,-0.2724906,50.99057850000001
CG-104305-0000,Co-operative Group,-0.2320616,50.8513992
CG-156323-0000,Co-operative Group,-0.57388,51.53302
CG-108811-0000,Co-operative Group,-0.5852711,51.5490807
CG-109861-0000,Co-operative Group,-0.4484402,51.3950621
CG-109849-0000,Co-operative Group,-0.3740414,51.27876020000001
CG-107448-0000,Co-operative Group,-0.2022225,50.8426025
CG-109810-0000,Co-operative Group,-0.4628609,51.4329159
CG-107473-0000,Co-operative Group,-0.181472,50.8329797
CG-105445-0000,Co-operative Group,-0.17716,50.825115
CG-107897-0000,Co-operative Group,-0.4118894,51.3913909
CG-104293-0000,Co-operative Group,-0.5046676999999999,51.51993119999999
CG-107481-0000,Co-operative Group,-0.5209893000000001,51.54292780000001
CG-104661-0000,Co-operative Group,-0.1737273,50.83104549999999
CG-109823-0000,Co-operative Group,-0.170964,50.8276231
CG-107477-0000,Co-operative Group,-0.176602,50.93308189999999
